frame,t_ms,frametime_ms,terrain,trees,dwarves,dirty_tiles,mark
# run: build=21c65a0 assets=disk:D:\Workspace\frostvein\assets subdiv=4 vsync=on terrain=1888 trees=259 dwarves=5
313,4647.524,6.089,1888,259,5,0,0
314,4664.692,17.168,1888,259,5,0,0
315,4683.044,18.353,1888,259,5,0,0
316,4699.461,16.416,1888,259,5,0,0
317,4717.952,18.491,1888,259,5,0,0
318,4735.423,17.471,1888,259,5,0,0
319,4752.154,16.731,1888,259,5,0,0
320,4768.890,16.736,1888,259,5,0,0
321,4786.343,17.453,1888,259,5,0,0
322,4803.602,17.260,1888,259,5,0,0
323,4820.606,17.004,1888,259,5,0,0
324,4850.539,29.932,1888,259,5,0,0
325,4856.856,6.317,1888,259,5,0,0
326,4874.226,17.370,1888,259,5,0,0
327,4890.659,16.433,1888,259,5,0,0
328,4920.194,29.535,1888,259,5,0,0
329,4925.793,5.599,1888,259,5,0,0
330,4944.607,18.814,1888,259,5,0,0
331,4961.993,17.386,1888,259,5,0,0
332,4979.585,17.592,1888,259,5,0,0
333,4998.105,18.520,1888,259,5,0,0
334,5014.273,16.168,1888,259,5,0,0
335,5032.750,18.477,1888,259,5,0,0
336,5050.319,17.569,1888,259,5,0,0
337,5069.455,19.136,1888,259,5,0,0
338,5087.494,18.039,1888,259,5,0,0
339,5108.107,20.613,1888,259,5,0,0
340,5124.426,16.320,1888,259,5,0,0
341,5141.998,17.572,1888,259,5,0,0
342,5170.339,28.340,1888,259,5,0,0
343,5176.719,6.380,1888,259,5,0,0
344,5195.464,18.745,1888,259,5,0,0
345,5212.173,16.709,1888,259,5,0,0
346,5229.708,17.535,1888,259,5,0,0
347,5246.453,16.745,1888,259,5,0,0
348,5264.869,18.416,1888,259,5,0,0
349,5282.128,17.259,1888,259,5,0,0
350,5311.605,29.477,1888,259,5,0,0
351,5317.717,6.112,1888,259,5,0,0
352,5346.561,28.844,1888,259,5,0,0
353,5352.811,6.250,1888,259,5,0,0
354,5369.750,16.939,1888,259,5,0,0
355,5387.227,17.478,1888,259,5,0,0
356,5404.503,17.276,1888,259,5,0,0
357,5421.659,17.156,1888,259,5,0,0
358,5438.186,16.527,1888,259,5,0,0
359,5464.536,26.350,1888,259,5,0,0
360,5471.107,6.571,1888,259,5,0,0
361,5488.065,16.958,1888,259,5,0,0
362,5505.456,17.390,1888,259,5,0,0
363,5523.187,17.732,1888,259,5,0,1
364,5539.575,16.387,1888,259,5,0,0
365,5565.439,25.864,1888,259,5,0,0
366,5572.822,7.383,1888,259,5,0,0
367,5599.489,26.667,1888,259,5,0,0
368,5606.320,6.831,1888,259,5,0,0
369,5622.903,16.583,1888,259,5,0,0
370,5640.723,17.821,1888,259,5,0,0
371,5655.462,14.739,1888,259,5,0,0
372,5671.262,15.800,1888,259,5,0,0
373,5688.689,17.427,1888,259,5,0,0
374,5704.869,16.180,1888,259,5,0,0
375,5720.692,15.823,1888,259,5,0,0
376,5737.736,17.044,1888,259,5,0,0
377,5754.222,16.486,1888,259,5,0,0
378,5770.687,16.465,1888,259,5,0,0
379,5787.044,16.357,1888,259,5,0,0
380,5803.290,16.246,1888,259,5,0,0
381,5819.299,16.009,1888,259,5,0,0
382,5837.918,18.618,1888,259,5,0,0
383,5853.206,15.288,1888,259,5,0,0
384,5868.571,15.365,1888,259,5,0,0
385,5885.877,17.306,1888,259,5,0,0
386,5901.084,15.208,1888,259,5,0,0
387,5917.298,16.214,1888,259,5,0,0
388,5932.668,15.369,1888,259,5,0,0
389,5949.815,17.147,1888,259,5,0,0
390,5965.762,15.947,1888,259,5,0,0
391,5980.988,15.227,1888,259,5,0,0
392,5997.575,16.587,1888,259,5,0,0
393,6014.708,17.132,1888,259,5,0,0
394,6029.946,15.238,1888,259,5,0,0
395,6046.572,16.626,1888,259,5,0,0
396,6064.106,17.533,1888,259,5,0,0
397,6080.123,16.017,1888,259,5,0,0
398,6097.298,17.176,1888,259,5,0,0
399,6113.873,16.575,1888,259,5,0,0
400,6129.227,15.354,1888,259,5,0,0
401,6145.796,16.569,1888,259,5,0,0
402,6161.748,15.952,1888,259,5,0,0
403,6177.373,15.625,1888,259,5,0,0
404,6193.219,15.846,1888,259,5,0,0
405,6208.097,14.878,1888,259,5,0,0
406,6223.599,15.503,1888,259,5,0,0
407,6239.739,16.140,1888,259,5,0,0
408,6256.479,16.740,1888,259,5,0,0
409,6271.123,14.644,1888,259,5,0,0
410,6286.249,15.126,1888,259,5,0,0
411,6303.717,17.468,1888,259,5,0,0
412,6319.449,15.731,1888,259,5,0,0
413,6334.270,14.821,1888,259,5,0,0
414,6349.290,15.020,1888,259,5,0,0
415,6364.661,15.371,1888,259,5,0,0
416,6381.391,16.730,1888,259,5,0,0
417,6396.153,14.762,1888,259,5,0,0
418,6421.583,25.430,1888,259,5,0,0
419,6427.705,6.122,1888,259,5,0,0
420,6443.704,15.999,1888,259,5,0,0
421,6459.375,15.671,1888,259,5,0,0
422,6474.980,15.605,1888,259,5,0,0
423,6490.149,15.169,1888,259,5,0,0
424,6506.028,15.879,1888,259,5,0,0
425,6521.470,15.441,1888,259,5,0,0
426,6538.003,16.533,1888,259,5,0,0
427,6553.694,15.691,1888,259,5,0,0
428,6569.804,16.110,1888,259,5,0,0
429,6585.136,15.332,1888,259,5,0,0
430,6601.657,16.521,1888,259,5,0,0
431,6616.536,14.879,1888,259,5,0,0
432,6632.475,15.939,1888,259,5,0,0
433,6648.526,16.051,1888,259,5,0,0
434,6664.600,16.073,1888,259,5,0,0
435,6681.125,16.525,1888,259,5,0,0
436,6695.303,14.179,1888,259,5,0,0
437,6711.574,16.271,1888,259,5,0,0
438,6727.541,15.967,1888,259,5,0,0
439,6743.557,16.016,1888,259,5,0,0
440,6776.606,33.049,1888,259,5,0,0
441,6781.740,5.135,1888,259,5,0,0
442,6790.325,8.585,1888,259,5,0,0
443,6806.231,15.906,1888,259,5,0,0
444,6832.174,25.942,1888,259,5,0,0
445,6838.493,6.319,1888,259,5,0,0
446,6854.717,16.224,1888,259,5,0,0
447,6880.934,26.217,1888,259,5,0,0
448,6887.627,6.693,1888,259,5,0,0
449,6902.872,15.245,1888,259,5,0,0
450,6916.969,14.097,1888,259,5,0,0
451,6933.090,16.120,1888,259,5,0,0
452,6948.765,15.676,1888,259,5,0,0
453,6964.696,15.930,1888,259,5,0,0
454,6979.358,14.662,1888,259,5,0,0
455,6995.181,15.823,1888,259,5,0,0
456,7012.090,16.909,1888,259,5,0,0
457,7026.536,14.446,1888,259,5,0,0
458,7042.563,16.026,1888,259,5,0,0
459,7058.651,16.088,1888,259,5,0,0
460,7074.934,16.283,1888,259,5,0,0
461,7090.276,15.343,1888,259,5,0,0
462,7105.581,15.305,1888,259,5,0,0
463,7122.318,16.737,1888,259,5,0,0
464,7137.179,14.861,1888,259,5,0,0
465,7154.438,17.259,1888,259,5,0,0
466,7171.188,16.749,1888,259,5,0,0
467,7185.791,14.604,1888,259,5,0,0
468,7201.584,15.793,1888,259,5,0,0
469,7216.515,14.930,1888,259,5,0,0
470,7232.467,15.953,1888,259,5,0,0
471,7247.844,15.377,1888,259,5,0,0
472,7267.166,19.322,1888,259,5,0,0
473,7279.953,12.788,1888,259,5,0,0
474,7295.858,15.905,1888,259,5,0,0
475,7311.849,15.991,1888,259,5,0,0
476,7326.914,15.065,1888,259,5,0,0
477,7342.242,15.327,1888,259,5,0,0
478,7358.708,16.466,1888,259,5,0,0
479,7373.114,14.406,1888,259,5,0,0
480,7388.884,15.770,1888,259,5,0,0
481,7405.454,16.570,1888,259,5,0,0
482,7419.518,14.064,1888,259,5,0,0
483,7436.918,17.401,1888,259,5,0,0
484,7451.520,14.601,1888,259,5,0,0
485,7466.794,15.274,1888,259,5,0,0
486,7484.831,18.037,1888,259,5,0,0
487,7497.790,12.959,1888,259,5,0,0
488,7514.581,16.791,1888,259,5,0,0
489,7521.903,7.322,1888,259,5,0,0
490,7528.860,6.956,1888,259,5,0,0
491,7536.241,7.381,1888,259,5,0,0
492,7542.507,6.266,1888,259,5,0,0
493,7550.091,7.585,1888,259,5,0,0
494,7557.793,7.702,1888,259,5,0,0
